Username,Sprint,Worked,Billed,Planned,2019-10-7,2019-10-8,2019-10-9,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-1,2019-11-2,2019-11-3,2019-11-4,2019-11-5,2019-11-6
nacho,19,151.5,151.5,0,0,0,11.25,12.5,7.25,8,8,0,0,8,8.5,8,7.75,10.25,0,0,0,4,7.75,8,6.25,0,0,8,8,0,6,7.25,0,0,6.75
nacho,20,183.5,183.5,0,10,5.25,8,8.5,1.5,0,8.25,7.75,7.75,7.75,7.25,0,0,7.5,7.5,9,7.75,7.75,0,0,7.5,7.75,7.25,9,8.5,0,0,8.25,8.25,7.5,8
nacho,21,142,142,0,0,0,0,7.75,8.5,7.5,8,8,0,0,7.75,8,8,8,8,0,0,8,8,8.25,0,0,0,0,7.5,7.75,7.75,7.25,8,0,0
nacho,22,160,160,0,8,7.75,8,7.75,8,0,0,7.75,7.5,7.75,10.5,7.5,0,0,7.75,9.5,7.75,8,8,0,0,8,7.75,8,7.25,7.5,0,0,0,0,0
nacho,23,120,120,0,0,0,0,0,0,0,0,0,0,0,0,7.75,7.75,7.5,7.5,8,0,2,8.25,7.75,7.75,7.75,8.75,0,0,7.75,7.75,7.75,7.75,8.25,0
nacho,24,159.25,159.25,0,0,7.25,8.75,7.75,7.75,8.75,0,2,7.75,8.25,8.25,7.75,7.5,0,0,7.75,7.75,7.25,7.25,7.75,0,0,0,0,7.75,8,8,0,0,7.75,8.25
nacho,25,132.75,132.75,0,8.25,8.75,4,0,0,8,7.75,10.25,7.75,8.25,0,0,0,7.75,7.25,8.25,7.75,0,0,0,0,0,0,0,0,0,7.25,7.75,7.25,8.25,8.25
nacho,26,149,149,0,0,0,7.75,8.25,10.75,9.25,10.25,0,0,7.75,7.75,7.5,7.75,8.25,0,0,0,7.25,0,9.75,8.25,0,0,7.25,7.75,7.75,4.75,3.75,0,0,7.25
nacho,27,131.5,131.5,0,7.25,7.5,0,8.75,0,0,7.75,7.75,7.25,7.25,0,0,0,0,0,0,0,0,0,0,7.75,11.5,7.25,7.75,7.25,4.5,2,7.25,7.75,7.75,7.25
nacho,28,163.25,163.25,0,7.75,0,0,7.75,7.75,7.25,6.75,7.25,0,0,8.25,7.75,7.75,8.75,8.75,0,0,8.25,7.75,7.75,7.25,7.75,0,0,7.25,7.25,7.75,8.75,7.75,0,0
raul,1,140.5,140.5,0,8,8,6.5,6,0,0,0,0,0,0,7.5,8,0,0,8,8,8,8,8,0,0,9,9,10.5,0,0,0,0,8,9,11
raul,2,161.5,161.5,0,9.5,8,0,0,8,8,8,9,8,0,0.5,5.5,9,8,8,8,0,0,11,5,8,8,8,0,0,8,8,8,0,0,0
raul,3,68.5,68.5,0,0,0,8,8,8,8,0,0,8,8,8,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
raul,4,184,184,0,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8.5,8,7.5,0,0,8,8,8,8,8,0,0,8,8,8,8,8
raul,5,158.5,158.5,0,0,0,8,8,6,8,8.5,0,0,8,8,8,8,8,0,0,0,8,8,8,8,0,0,8,8,8,8,8,0,0,8
raul,6,188.5,188.5,0,8,8,8,8,0,0,8,8,8,8,8,0,0,8.5,8.5,10,8,8,2,2,8.5,9,9,8,8,0,0,8,8.5,10.5,0
raul,7,162.25,162.25,0,0,0,0,8,8.5,8.75,8,8,0,0,8,9,8,8,8,0,0,8,8,8,9,0,0,0,8,8.5,8,12,10.5,0,0
raul,8,173.25,173.25,0,8,8,8,10,0,0,0,9.5,8.25,9,8,0,0,0,8,8,8,8,8,0,0,8,8.5,8,8,8,0,0,8,8,8
raul,9,185.5,185.5,0,8,8,0,0,8,8,8,8,8,0,0,8,8.5,8,11,8,0,0,8,8.5,10,9,8.5,0,0,9,8.5,8,8,8.5,0
raul,10,142.5,142.5,0,0,8,8,9.5,8.5,8,0,0,0,8,8.5,10,9,0,0,0,8,8,8,9,0,0,0,9,8,8,7,0,0,0,0
raul,11,112.5,112.5,0,0,0,0,0,0,0,8.5,8,8,8,0,0,0,8,8,8,8,0,0,0,0,0,8,8,0,0,8,0,8,8,8
raul,12,122.25,122.25,0,0,0,8,8,8,8.75,8,0,0,8,8,8,8,8,0,0,0,0,0,0,0,0,0,8,8,8,9.5,8,0,0,0
raul,13,65.75,65.75,0,8,9,8.75,8,0,0,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raul,14,118.5,118.5,0,0,0,0,0,0,0,0,7.5,0,0,8,8,8.5,8,8.5,0,0,8.5,8,8,13,8,0,0,0,0,8,8,8.5,0,0
raul,15,120,120,0,8,9.25,8,8,8,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,8,12,0,10.75,8,0,0,8,8,8
raul,16,181.75,181.75,0,8,7.5,0,0,8,8.5,8,8,9,0,0,8,8,10.5,9.5,8.5,0,0,8,8,8.75,9.5,8,0,0,9.5,8.5,8,8,4,0
raul,17,75.5,75.5,0,0,9.5,8,8,8,8,0,0,8,6,8,4.5,4.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raul,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raul,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raul,20,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
raul,21,170,170,0,8,0,0,8,9.25,8,8,8,0,0,8,8,8,8,8,0,0,8,8,9,9.75,8,0,0,8,8,8,8,6,0,0
raul,22,144.5,144.5,0,9.5,12.5,11,9,8,0,0,8,8,8,8,7.5,0,0,8,8,8,8,7,0,0,8,8,0,0,0,0,0,0,0,0
raul,23,148.75,148.75,0,0,0,0,0,8,8,8,8,8,0,0,8,8,10.25,8,9,0,0,5,0,0,8,8,0,0,8,7.5,11.5,8,9.5,0
raul,24,176,176,0,0,8,10,8,8,9,0,0,8,9,8,8,10,4,0,8,8,6,8,8,0,0,8,0,8,8,8,0,0,8,8
raul,25,160.25,160.25,0,8,8,8,0,0,8,8,8,8.75,8,0,0,0,8,8,8.5,8,0,0,0,0,8,8,8,0,0,8,7,8,8,8
