Issue Key,Issue summary,Work date,Hours,Username,Period,Account Key,Account Name,Account Lead,Account Category,Account Customer,Activity Name,Component,All Components,Version Name,Issue Type,Issue Status,Project Key,Epic,Epic Link,Work Description,Parent Key,Reporter,External Hours,Billed Hours,Issue Original Estimate,Issue Remaining Estimate,,,
JUSTIT-1922,Adapt - Perform SOUP UI Test,2019-10-31,4,isabel,,,,,,,JUSTIT,,,,Task,Closed,JUSTIT,,,,,stefan,0,4,,0,,,
JUSTIT-1914,Introduce the Grouping feature in the Search Module,2019-10-29,8,lorenzo,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,"Anayse issue, and see where is the problem. This one is search dependency problem. It needs to be changed to order the load of topic´s facades",,stefan,0,8,,0,,,
JUSTIT-1799,(DMS) Create a configurable size limit for uploading documents,2019-10-31,2,sergio,,,,,,,module-dms,module-dms,module-dms,,Improvement,Closed,JUSTIT,,,Research and dev,,josem,0,2,,0,,,
JUSTIT-1884,Possible wrong mapping code from ZEMIS in PN_NATIONALITY_CD,2019-10-31,2,oscar,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,"Investigate issue. Build was old, generate a new one and test it can be properly deployed",,neva,0,2,,0,,,
JUSTIT-1911,Preview (thumbnail) is not displayed in template selection,2019-10-31,2,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,"Dev, test and commit",,stefan,0,2,,4,,,
JUSTIT-2004,External Favourite Provider could not check favourite status,2019-10-30,2,emmanuel,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,analyzing.,,simon,0,2,,0,,,
JUSTIT-2005,Update SOAP project with 4 types Dossier-typ,2019-10-30,6,jesus,,,,,,,1.0.4.0,,,1.0.4.0,Package,Resolved,JUSTIT,,,,,isabel,0,6,,0,,,
JUSTIT-1799,(DMS) Create a configurable size limit for uploading documents,2019-10-30,8,ramon,,,,,,,module-dms,module-dms,module-dms,,Improvement,Closed,JUSTIT,,,Dev,,josem,0,8,,0,,,
JUSTIT-1998,Logically deleted attachments cannot be moved (in main1Merge),2019-10-30,5,gregorio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,JUSTIT-1988,,simon,0,5,,0,,,
JUSTIT-1911,Preview (thumbnail) is not displayed in template selection,2019-10-30,5,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Test and analysis,,stefan,0,5,,4,,,
JUSTIT-2010,Some Fields on Lod_Bo_opentextdocViewXlMask are not read only,2019-10-30,1,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Test and call,,stefan,0,1,,0,,,
JUSTIT-1901,If a Schritt is read only all the zone 4 elements has to be read only,2019-10-30,2,sergio,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,Dev and test,,stefan,0,2,,0,,,
JUSTIT-1922,Adapt - Perform SOUP UI Test,2019-10-30,3,isabel,,,,,,,JUSTIT,,,,Task,Closed,JUSTIT,,,,,stefan,0,3,,0,,,
JUSTIT-2011,Keep the order of the facades (searches) as is defined in the Topic__.xml files,2019-10-30,3,roberto,,,,,,,JUSTIT,,,,Sub-task,Closed,JUSTIT,,,Keep the order of the facades (searches) as is defined in the Topic__.xml files,JUSTIT-1914,roberto,0,3,,0,,,
